id,title,handle,vendor,status,desc_len,has_tags,distributor_snippet
8835314876654,"E75, 85, 95 - Hora de mantención Limpieza interior exterior",e75-85-95-hora-de-mantencion-limpieza-interior-exterior,Colvin,active,87,1,0
8835314843886,"E75, 85, 95 - Revisión Equipo",e75-85-95-revision-equipo,Colvin,active,57,1,0
4387303391274,ELARA™ FC-SERIES ID,elara™-fc-series-id,Flir,draft,9117,0,0
4387327606826,ELARA™ FC-SERIES O,elara™-fc-series-o,Flir,archived,2086,0,0
9199944630510,Envio Centro Norte Chile,envio-centro-norte-chile,Flir,active,56,0,0
9199944597742,Envio Centro Sur Chile,envio-centro-sur-chile,Flir,active,54,0,0
9199944663278,Envio Norte Chile,envio-norte-chile,Flir,active,49,0,0
9199944368366,Envio Region de Valparaiso,envio-region-de-valparaiso,Flir,active,50,0,0
9199944761582,Envio Santiago / RM,envio-santiago-rm,Flir,active,58,0,0
9199944499438,Envio Sur / Austral Chile,envio-sur-austral-chile,Flir,active,57,0,0
8598790635758,EO IR Mk II — High-Fidelity Infrared & High Definition Daylight Imaging Payload,eo-ir-mk-ii-high-fidelity-infrared-high-definition-daylight-imaging-payload,Flir,active,1045,0,0
4387184902186,ESTACIÓN DE TRABAJO USS CLIENT,estacion-de-trabajo-uss-client,Flir,active,1590,0,0
7997362962670,Estuche Protector FLIR T912180ACC para Cámara Térmica ONE Edge,estuche-flir-one-edge,Flir,active,1226,1,0
4511139201066,Estuche Rígido FLIR T198528 para Cámaras Termográficas Serie Ex,hard-transport-case-t198528,Flir,active,1814,1,0
4510571102250,Estuche Rígido FLIR T300163 para Cámaras Termográficas A400/A700 y GF77a,hard-case-for-the-flir-a400-a700-series-t300163,Flir,active,1813,1,0
4510582341674,"Ethernet cable M12 to RJ45, 10 m (T911855ACC)",ethernet-cable-m12-to-rj45-10-m-t911855acc,Flir,archived,874,1,0
4510577328170,"ETHERNET CABLE M12 TO RJ45, 2 M (T911854ACC)",ethernet-cable-m12-to-rj45-2-m-t911854acc,Flir,active,616,1,0
4510577950762,"Ethernet cable M12 to RJ45F, 0.3 m (T911869ACC)",ethernet-cable-m12-to-rj45f-0-3-m-t911869acc,Flir,active,225,1,0
6181041242293,ETS320,ets320,Flir,active,3550,0,0
9103814426862,Extech CG204,extech-cg204,Flir,active,0,0,0
6751212142773,Extech DV690 Detector de Voltaje sin Contacto con Linterna LED y Láser,extech-dv690,Flir,active,1448,1,0
4462671200298,EXTECH IR200,extech-ir200,Flir,active,630,1,0
8597775515886,Extech MG310 Comprobador de Aislamiento/Multímetro CAT III 600V Compacto,extech-mg310,Flir,active,1426,1,0
8597783085294,Extech MG320 Comprobador de Aislamiento/Multímetro True RMS CAT IV 1000V,extech-mg320,Flir,active,1626,1,0
8597787902190,Extech MG500 Comprobador Digital de Aislamiento de Alta Tensión hasta 10kV,extech-mg500,Flir,active,1502,1,0
8727289495790,Extension Pole (MR04),extension-pole-mr04,Flir,active,714,0,0
4387763650602,EZ CURE II Caja de Curado Termostática para Cilindros de Concreto ASTM C31,ez-cure-ii,Flir,active,5018,0,0
8597852225774,FC T2-Series,fc-t2-series,Flir,archived,1803,0,0
8906128425198,FH644-ID 13MM,fh644-id,Flir,active,0,0,0
8916805157102,FH669-ID 9MM,fh644-id-copia,Flir,active,0,0,0
4475626356778,Fido X2,fido-x2,Flir,active,3797,1,0
4475628781610,Fido X3,fido-x3,Flir,active,2591,1,0
4400690069546,FLIR A300,flir-a300,Flir,active,5331,0,0
4389876039722,FLIR A310,flir-a310-1,Flir,active,2511,1,0
4386525216810,FLIR A310 EX,flir-a310-ex,Flir,active,2709,1,0
4386525544490,FLIR A315,flir-a315,Flir,active,2474,0,0
4386526036010,FLIR A315 f,flir-a315-f,Flir,active,2317,0,0
4386526265386,FLIR A35,flir-a35,Flir,active,2445,0,0
9037399130350,FLIR A50 29°,flir-a50-95-copia,Flir,active,0,0,0
8930760360174,FLIR A50 51° - Cámara Termográfica Inteligente 464x348 30Hz (-20°C a 1000°C),flir-a50-con-lente-de-51-464-x-348-30-hz-de-20-c-a-1000-c,Flir,active,1435,0,0
9037398737134,FLIR A50 95°,flir-a50-51-copia,Flir,active,0,0,0
8941355958510,FLIR A500,flir-a500,Flir,active,0,0,0
4568182358058,FLIR A500-EST,flir-a500-est,Flir,active,1994,1,0
4386527379498,FLIR A615,flir-a615,Flir,active,2298,0,0
4386531049514,FLIR A65,flir-a65,Flir,active,2237,1,0
6180857839797,FLIR A655SC 25°,sc655,Flir,active,1368,1,0
8918506701038,FLIR A70 51°,flir-a70-is-51-89951-1101-copia,Flir,active,0,0,0
9088985465070,FLIR A70 51°,flir-a70-51-copia,Flir,active,0,0,0
8913673814254,FLIR A70 51° (rango de temperatura),flir-a70-is-95-89995-0101-copia-2,Flir,active,0,0,0
8903177011438,FLIR A70 95°,flir-a70-89995-0101,Flir,active,0,0,0
9090208858350,FLIR A70 95° rango opcional,flir-a70-95-rango-opcional,Flir,active,0,0,0
4568192286762,FLIR A700-EST,flir-a700-est,Flir,active,3056,1,0
6799294660789,FLIR A700-EST™ IS,flir-a700-est™-is,Flir,active,7190,1,0
4386550448170,FLIR ARGUS,flir-argus,Flir,active,2258,0,0
